TF	Target_gene	Function	PMID	TF_Entrez	Target_gene_Entrez
AHR	IL6	Activation	20511231	196	3569
ATF2	TNF	Activation	10688670;10748079;10913190;20068037	1386	7124
ATF4	SIRT1	Activation	22363646	468	23411
ATF4	SIRT1	Repression	21801305	468	23411
BRCA1	SIRT1	Activation	18851829;20160719;21407215;9000507	672	23411
CIITA	SIRT1	Repression	22064865	4261	23411
CLOCK	NAMPT	Activation	19299583	9575	10135
CREB1	HMOX1	Repression	14523007	1385	3162
CREB1	IL10	Activation	10540320;22140263	1385	3586
CREB1	IL6	Activation	8725624	1385	3569
DDIT3	SIRT1	Repression	21801305	1649	23411
EGR1	TNF	Activation	10913190;14767560	1958	7124
EP300	VCAM1	Activation	19281832	2033	7412
EP300	VEGFA	Activation	22789427	2033	7422
FOXL2	SIRT1	Activation	19010791	668	23411
FOXO3	SIRT1	Activation	23525956	2309	23411
GTF2I	SIRT1	Activation	21407215	2969	23411
HDAC11	TNF	Repression	21239696	79885	7124
HDAC4	IL10	Repression	17610967	9759	3586
HDAC4	VCAM1	Activation	19281832	9759	7412
HDAC4	VEGFA	Repression	19509297	9759	7422
HES1	PTGDS	Repression	15743775	3280	5730
HIC1	SIRT1	Repression	19525223;19649206	3090	23411
HMGB2	TNF	Activation	18218727	3148	7124
JUN	TNF	Activation	10318823;10688670;10748079;10913190	3725	7124
LRRFIP1	TNF	Repression	16199883	9208	7124
NFIL3	IL1B	Repression	8547328	4783	3553
NFKB1	CCL2	Activation	10530453;11512674;12488502;12647268;16206198;16764699;20200316;9388261	4790	6347
NFKB1	CRP	Activation	12667216;17704137	4790	1401
NFKB1	CXCL1	Activation	10530453;15958549	4790	2919
NFKB1	IL10	Activation	19124729	4790	3586
NFKB1	IL18	Activation	15963597;17399992	4790	3606
NFKB1	IL1B	Activation	12686724;14960579;8413223;8679226;9878621	4790	3553
NFKB1	IL6	Activation	10329846;10903137;11327783;11504280;12058956;12887736;14532843;15756023;16984731;17040605;17196927;18057724;18061164;18243142;18942706;18996370;19124729;19164127;20066113;22547075;7876168;8679226;8725624	4790	3569
NFKB1	IL6	Repression	15517885	4790	3569
NFKB1	LCN2	Activation	15536164	4790	3934
NFKB1	NAMPT	Activation	16701870	4790	10135
NFKB1	PTGDS	Activation	19094210	4790	5730
NFKB1	TIMP1	Repression	14600595	4790	7076
NFKB1	TNF	Activation	10079106;10748079;11749970;12058956;12686724;15013838;16707469;16916598;17407192;18057724;20066113;7876168;8219230;8679226	4790	7124
NFKB1	VCAM1	Activation	10329958;10946302;11359843;16271621;16317091;16385502;19281832;19422386;22708120	4790	7412
NFKB1	VEGFA	Activation	15856023;16684540;17407600;18056465	4790	7422
NFKB1	VEGFA	Repression	15517885	4790	7422
NR4A1	TNF	Repression	19213954	3164	7124
PPARA	ANGPTL4	Activation	12099716;15190076	5465	51129
PPARG	ADIPOQ	Activation	20484463	5468	9370
PPARG	ANGPTL4	Activation	15190076	5468	51129
PPARG	FABP4	Activation	11574398	5468	2167
PPARG	RETN	Activation	20360975	5468	56729
PPARG	SLC2A4	Repression	16670091	5468	6517
RELA	SIRT1	Activation	20617556	5970	23411
RELA	TNF	Activation	10079106;10748079;11749970;12058956;12686724;15013838;16707469;16916598;17407192;18057724;20066113;7876168;8219230;8679226	5970	7124
SIRT1	CFH	Repression	17558024	23411	3075
SP1	TNF	Activation	10688670;10913190	6667	7124
SP1	TNF	Repression	12759366	6667	7124
TFAP2B	ADIPOQ	Repression	19325541	7021	9370
TFAP2B	CRYAB	Activation	21556774	7021	1410
TFAP2B	PTGDS	Activation	15743775	7021	5730
USF1	PTGDS	Activation	17574780	7391	5730
USF1	PTGDS	Repression	18817855	7391	5730
