Gene	Chr	Start	End	Type
VCAM1	1	100719742	100739045	protein_coding
CRP	1	159712289	159714589	protein_coding
ITLN1	1	160876540	160885180	protein_coding
DPT	1	168695468	168729206	protein_coding
CFH	1	196652043	196747504	protein_coding
IL10	1	206767602	206772494	protein_coding
TGFB2	1	218345336	218444619	protein_coding
C1QL3	2	13006591	13016491	protein_coding
FNDC4	2	27491883	27495200	protein_coding
IL1B	2	112829751	112836779	protein_coding
DPP4	2	161992245	162074215	protein_coding
IRS1	2	226731312	226799820	protein_coding
GHRL	3	10285666	10292947	protein_coding
FSTL1	3	120392293	120450992	protein_coding
AHSG	3	186613060	186621318	protein_coding
ADIPOQ	3	186842710	186858463	protein_coding
CXCL1	4	73869393	73871308	protein_coding
CXCL5	4	73995642	73998677	protein_coding
SPP1	4	87975714	87983411	protein_coding
C1QTNF12	4	156046769	156051086	protein_coding
C1QTNF3	5	34017858	34244724	protein_coding
C1QTNF7	5	43672792	43776805	protein_coding
CXCL14	5	135570679	135578991	protein_coding
GPX3	5	151020591	151028988	protein_coding
GM2A	5	151253185	151270440	protein_coding
TNF	6	31575565	31578336	protein_coding
APOM	6	31652404	31658210	protein_coding
VEGFA	6	43770211	43786487	protein_coding
IL6	7	22727200	22731998	protein_coding
SFRP4	7	37905932	37916817	protein_coding
HGF	7	81699010	81770047	protein_coding
AZGP1	7	99966730	99976031	protein_coding
PCOLCE	7	100602363	100608175	protein_coding
NAMPT	7	106248298	106285888	protein_coding
CAV1	7	116525009	116561185	protein_coding
LEP	7	128241278	128257629	protein_coding
RARRES2	7	150338329	150341629	protein_coding
CLU	8	27596917	27614700	protein_coding
FABP4	8	81478419	81483233	protein_coding
CCN4	8	133191039	133231690	protein_coding
ORM1	9	114323098	114326479	protein_coding
ANGPTL2	9	127087348	127122635	protein_coding
LCN2	9	128149453	128153453	protein_coding
PTGDS	9	136977504	136981742	protein_coding
ITIH5	10	7559270	7666966	protein_coding
SIRT1	10	67884656	67918390	protein_coding
RBP4	10	93591694	93601744	protein_coding
SFRP5	10	97766751	97771999	protein_coding
NUCB2	11	17276739	17349980	protein_coding
SAA1	11	18266264	18269967	protein_coding
C1QTNF2	11	43364984	43382485	protein_coding
C1QTNF4	11	47589667	47595304	protein_coding
SLC2A4	11	69833112	69839040	protein_coding
CRYAB	11	111908564	111923740	protein_coding
IL18	11	112143260	112164094	protein_coding
C1QTNF5	11	119338942	119346705	protein_coding
METRNL	11	121593253	121608215	protein_coding
C1QTNF9	13	24307166	24322531	protein_coding
HMGB1	13	30456704	30617597	protein_coding
GDF10	14	33645544	33658471	protein_coding
BMP4	14	46620982	46628126	protein_coding
LGALS3	14	55129252	55145430	protein_coding
SERPINA12	14	94487279	94517844	protein_coding
DLK1	14	100726892	100738224	protein_coding
GREM1	15	32718004	32745106	protein_coding
FBN1	15	48408313	48645709	protein_coding
CILP	15	65194760	65211473	protein_coding
NRG4	15	75935393	76060240	protein_coding
DGAT1	15	76386215	76396167	protein_coding
NMB	15	84655132	84658199	protein_coding
SERPINF1	17	1762060	1777565	protein_coding
DLL1	17	15587616	15597275	protein_coding
CCL2	17	34255285	34257203	protein_coding
GRN	17	44345302	44353106	protein_coding
ACE	17	63477061	63498373	protein_coding
SSTR2	17	73165010	73176633	protein_coding
SOCS3	17	78356778	78360925	protein_coding
C1QTNF1	17	79022934	79049788	protein_coding
CFD	19	859664	863641	protein_coding
LRG1	19	4536402	4540036	protein_coding
C3	19	6677704	6720650	protein_coding
RETN	19	7669049	7670455	protein_coding
ANGPTL4	19	8364155	8374370	protein_coding
ANGPTL6	19	10092338	10106190	protein_coding
ANGPTL8	19	11239619	11241943	protein_coding
TGFB1	19	41330323	41353922	protein_coding
FGF21	19	48755524	48758330	protein_coding
ADISSP	20	3753508	3768388	protein_coding
WISP2	20	5683786	5691836	protein_coding
ISM1	20	13221274	13326723	protein_coding
PTPN1	20	50510383	50585241	protein_coding
BMP7	20	57168753	57266641	protein_coding
HMOX1	22	35381096	35394207	protein_coding
C1QTNF6	22	37180166	37199423	protein_coding
TAFA5	22	48489553	48751932	protein_coding
VEGFD	X	15345596	15384413	protein_coding
TIMP1	X	47582436	47586789	protein_coding
APLN	X	129645259	129654956	protein_coding
GPC4	X	133300103	133415489	protein_coding
